qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6
751,Scrabble Players,1.0,0,,,,,,,,,,,,,,,,,,
752,Dam removal,1.0,0,,,,,,,,,,,,,,,,,,
753,bullying prevention programs,1.0,0,,,,,,,,,,,,,,,,,,
754,domestic adoption laws,0.25,3,backtranslation_kor_hang,1.0,Adoption laws in the country,backtranslation_deu_latn,1.0,Adoption laws,backtranslation_rus_cyrl,0.3333,national laws on adoption,,,,,,,,,
755,Scottish Highland Games,1.0,0,,,,,,,,,,,,,,,,,,
756,Volcanic Activity,0.5,0,,,,,,,,,,,,,,,,,,
757,Murals,0.3333,0,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells,1.0,0,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments,1.0,0,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools,1.0,0,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants,1.0,0,,,,,,,,,,,,,,,,,,
762,History of Physicians in America,0.0833,0,,,,,,,,,,,,,,,,,,
763,Hunting deaths,0.5,3,backtranslation_kor_hang,1.0,Deaths from Hunting,backtranslation_arb_arab,1.0,Deaths from hunting,backtranslation_rus_cyrl,1.0,Death from hunting,,,,,,,,,
764,Increase mass transit use,1.0,0,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths,1.0,0,,,,,,,,,,,,,,,,,,
766,diamond smuggling,1.0,0,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements,1.0,0,,,,,,,,,,,,,,,,,,
768,Women in state legislatures,0.5,0,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees,0.1111,0,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan-United States relations,1.0,0,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs,1.0,0,,,,,,,,,,,,,,,,,,
772,flag display rules,1.0,0,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling,1.0,0,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness,1.0,0,,,,,,,,,,,,,,,,,,
775,Commercial candy makers,1.0,0,,,,,,,,,,,,,,,,,,
776,Magnet schools success,0.25,0,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars,0.25,2,backtranslation_yue_hant,0.5,hybrid fuel cars,backtranslation_zsm_latn,0.3333,hybrid alternative fuels,,,,,,,,,,,,
778,golden ratio,1.0,0,,,,,,,,,,,,,,,,,,
779,Javelinas range and description,1.0,0,,,,,,,,,,,,,,,,,,
780,Arable land,1.0,0,,,,,,,,,,,,,,,,,,
781,Squirrel control and protections,0.5,1,backtranslation_arb_arab,1.0,Counter squirrel and protective herring,,,,,,,,,,,,,,,
782,Orange varieties seasons,1.0,0,,,,,,,,,,,,,,,,,,
783,school mercury poisoning,0.3333,0,,,,,,,,,,,,,,,,,,
784,mersenne primes,1.0,0,,,,,,,,,,,,,,,,,,
785,Ivory-billed woodpecker,1.0,0,,,,,,,,,,,,,,,,,,
786,Yew trees,0.5,0,,,,,,,,,,,,,,,,,,
787,Sunflower Cultivation,1.0,0,,,,,,,,,,,,,,,,,,
788,Reverse mortgages,1.0,0,,,,,,,,,,,,,,,,,,
789,abandoned mine reclamation,0.5,0,,,,,,,,,,,,,,,,,,
790,women's rights in Saudi Arabia,1.0,0,,,,,,,,,,,,,,,,,,
791,Gullah geechee language culture,1.0,0,,,,,,,,,,,,,,,,,,
792,Social Security means test,0.2,3,backtranslation_rus_cyrl,0.5,Social security   a test,backtranslation_tam_taml,0.5,Social security testing,backtranslation_pes_arab,0.25,Social insurance is a test,,,,,,,,,
793,Bagpipe Bands,0.5,0,,,,,,,,,,,,,,,,,,
794,pet therapy,0.5,1,backtranslation_rus_cyrl,1.0,therapy of domestic animals,,,,,,,,,,,,,,,
795,notable cocker spaniels,0.0263,6,backtranslation_kor_hang,0.5,A remarkable Coker Spaniel,backtranslation_pes_arab,0.0588,Notable spaniels,backtranslation_zsm_latn,0.04,The famous cocker Spaniel,backtranslation_swh_latn,0.04,The famous cocker spaniels,backtranslation_arb_arab,0.0294,Cocker Spaniel,backtranslation_fra_latn,0.0278,the remarkable cocker spaniels
796,Blue Grass Music Festival history,0.5,0,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves,1.0,0,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills,0.5,0,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer's research,1.0,0,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment,0.0909,0,,,,,,,,,,,,,,,,,,
